tickNum	node1	node2	node3	node4	node5	node6	node7	node8	node9	node10
199	0.79	0.78	0.77	0.77	0.80	0.74	0.79	0.78	0.79	0.77
200	0.80	0.78	0.78	0.78	0.80	0.74	0.80	0.78	0.79	0.77
201	0.80	0.78	0.77	0.78	0.80	0.75	0.79	0.78	0.79	0.77
202	0.80	0.78	0.77	0.78	0.80	0.74	0.79	0.78	0.79	0.77
203	0.80	0.78	0.77	0.78	0.80	0.74	0.79	0.78	0.79	0.77
204	0.80	0.78	0.77	0.78	0.80	0.74	0.79	0.78	0.79	0.76
205	0.80	0.79	0.77	0.78	0.80	0.74	0.80	0.79	0.79	0.77
206	0.80	0.79	0.77	0.78	0.80	0.74	0.79	0.79	0.79	0.77
207	0.80	0.79	0.77	0.78	0.80	0.74	0.79	0.79	0.79	0.77
208	0.80	0.78	0.77	0.78	0.80	0.74	0.79	0.79	0.79	0.77
209	0.80	0.78	0.77	0.78	0.80	0.74	0.79	0.79	0.79	0.77
210	0.80	0.79	0.77	0.78	0.80	0.74	0.79	0.79	0.79	0.77
211	0.80	0.78	0.77	0.78	0.80	0.74	0.79	0.79	0.79	0.77
212	0.80	0.78	0.77	0.78	0.80	0.75	0.79	0.79	0.79	0.77
213	0.80	0.78	0.77	0.78	0.80	0.74	0.79	0.78	0.78	0.77
214	0.80	0.79	0.77	0.78	0.80	0.74	0.79	0.79	0.79	0.77
215	0.80	0.79	0.77	0.78	0.80	0.73	0.80	0.79	0.79	0.77
216	0.80	0.79	0.77	0.78	0.80	0.73	0.80	0.79	0.78	0.77
217	0.80	0.79	0.77	0.78	0.80	0.73	0.80	0.79	0.78	0.77
218	0.80	0.78	0.78	0.78	0.80	0.73	0.80	0.79	0.78	0.77
219	0.80	0.79	0.78	0.78	0.79	0.74	0.80	0.79	0.79	0.77
220	0.80	0.79	0.78	0.78	0.80	0.74	0.80	0.79	0.79	0.76
221	0.80	0.79	0.77	0.78	0.79	0.74	0.80	0.79	0.79	0.76
222	0.80	0.79	0.77	0.78	0.79	0.73	0.80	0.79	0.79	0.76
223	0.80	0.79	0.78	0.78	0.79	0.74	0.80	0.79	0.79	0.76
224	0.80	0.79	0.77	0.79	0.79	0.74	0.80	0.79	0.79	0.76
225	0.80	0.79	0.77	0.78	0.79	0.73	0.80	0.79	0.79	0.76
226	0.80	0.78	0.77	0.78	0.79	0.73	0.81	0.79	0.79	0.76
227	0.79	0.78	0.78	0.78	0.79	0.74	0.81	0.79	0.79	0.76
228	0.79	0.78	0.78	0.78	0.79	0.74	0.81	0.79	0.79	0.76
229	0.79	0.78	0.78	0.78	0.79	0.74	0.81	0.79	0.79	0.76
230	0.80	0.78	0.78	0.78	0.79	0.74	0.81	0.78	0.80	0.76
231	0.80	0.78	0.78	0.78	0.79	0.74	0.81	0.78	0.80	0.76
232	0.80	0.78	0.78	0.78	0.79	0.74	0.81	0.78	0.80	0.76
233	0.80	0.79	0.78	0.78	0.79	0.74	0.81	0.79	0.79	0.76
234	0.80	0.79	0.78	0.78	0.79	0.74	0.81	0.79	0.79	0.76
235	0.80	0.79	0.78	0.78	0.79	0.74	0.81	0.79	0.79	0.76
236	0.80	0.79	0.78	0.78	0.78	0.74	0.81	0.79	0.79	0.76
237	0.80	0.79	0.78	0.78	0.78	0.74	0.81	0.79	0.79	0.76
238	0.80	0.79	0.78	0.79	0.78	0.74	0.82	0.79	0.79	0.76
239	0.80	0.79	0.78	0.78	0.78	0.74	0.82	0.79	0.79	0.75
240	0.80	0.79	0.78	0.78	0.78	0.75	0.82	0.79	0.79	0.75
241	0.80	0.79	0.78	0.78	0.78	0.75	0.82	0.79	0.79	0.75
242	0.80	0.79	0.78	0.79	0.78	0.74	0.82	0.79	0.79	0.75
243	0.80	0.79	0.78	0.79	0.78	0.74	0.82	0.79	0.79	0.75
244	0.80	0.79	0.78	0.79	0.78	0.75	0.82	0.79	0.80	0.75
245	0.80	0.79	0.78	0.78	0.78	0.74	0.82	0.79	0.80	0.75
246	0.80	0.78	0.78	0.78	0.78	0.74	0.82	0.79	0.80	0.75
247	0.79	0.79	0.78	0.78	0.78	0.74	0.82	0.79	0.79	0.75
248	0.79	0.78	0.77	0.78	0.77	0.74	0.81	0.79	0.79	0.75
249	0.80	0.78	0.78	0.78	0.78	0.74	0.82	0.79	0.80	0.75
250	0.79	0.78	0.78	0.78	0.77	0.74	0.82	0.78	0.79	0.75
251	0.79	0.78	0.78	0.78	0.77	0.74	0.82	0.78	0.79	0.75
252	0.79	0.78	0.78	0.78	0.77	0.74	0.81	0.79	0.79	0.75
253	0.79	0.78	0.78	0.78	0.77	0.74	0.81	0.78	0.79	0.75
254	0.80	0.78	0.78	0.78	0.78	0.74	0.81	0.78	0.79	0.75
255	0.80	0.78	0.78	0.78	0.78	0.74	0.81	0.78	0.79	0.75
256	0.80	0.79	0.77	0.78	0.78	0.74	0.81	0.79	0.79	0.75
257	0.80	0.79	0.77	0.78	0.78	0.74	0.81	0.79	0.79	0.75
258	0.80	0.79	0.77	0.78	0.78	0.74	0.81	0.79	0.79	0.75
259	0.80	0.79	0.77	0.78	0.78	0.74	0.81	0.79	0.79	0.75
260	0.80	0.79	0.77	0.78	0.78	0.74	0.80	0.79	0.79	0.75
261	0.80	0.79	0.77	0.79	0.78	0.74	0.80	0.79	0.79	0.75
262	0.79	0.79	0.77	0.78	0.78	0.74	0.81	0.79	0.79	0.76
263	0.79	0.78	0.78	0.78	0.78	0.74	0.81	0.79	0.79	0.75
264	0.80	0.78	0.77	0.78	0.78	0.74	0.81	0.79	0.79	0.75
265	0.80	0.78	0.77	0.78	0.78	0.74	0.81	0.78	0.79	0.75
266	0.80	0.79	0.77	0.78	0.78	0.74	0.81	0.79	0.79	0.75
267	0.80	0.79	0.77	0.78	0.78	0.74	0.81	0.79	0.79	0.75
268	0.80	0.79	0.77	0.78	0.78	0.74	0.81	0.79	0.79	0.75
269	0.80	0.79	0.77	0.78	0.78	0.74	0.81	0.79	0.79	0.75
270	0.80	0.79	0.77	0.79	0.77	0.74	0.81	0.79	0.79	0.75
271	0.80	0.79	0.77	0.79	0.77	0.74	0.81	0.79	0.79	0.75
272	0.80	0.79	0.77	0.79	0.78	0.74	0.81	0.79	0.79	0.75
273	0.80	0.79	0.77	0.79	0.78	0.74	0.81	0.79	0.79	0.75
274	0.80	0.79	0.77	0.79	0.78	0.74	0.81	0.79	0.79	0.75
275	0.80	0.79	0.77	0.79	0.78	0.74	0.81	0.79	0.79	0.75
276	0.80	0.79	0.77	0.79	0.78	0.74	0.81	0.79	0.79	0.75
277	0.81	0.79	0.77	0.79	0.78	0.74	0.81	0.79	0.79	0.75
278	0.81	0.79	0.77	0.79	0.78	0.73	0.81	0.79	0.79	0.75
279	0.81	0.80	0.77	0.79	0.78	0.73	0.81	0.80	0.80	0.75
280	0.81	0.80	0.76	0.79	0.78	0.74	0.81	0.80	0.79	0.75
281	0.81	0.80	0.77	0.79	0.78	0.73	0.81	0.80	0.79	0.75
282	0.81	0.80	0.77	0.79	0.78	0.73	0.81	0.80	0.79	0.75
283	0.81	0.80	0.76	0.80	0.77	0.73	0.81	0.80	0.79	0.75
284	0.81	0.80	0.76	0.80	0.77	0.73	0.81	0.80	0.79	0.75
285	0.81	0.80	0.76	0.80	0.78	0.73	0.80	0.80	0.79	0.75
286	0.81	0.80	0.76	0.80	0.78	0.73	0.80	0.80	0.79	0.75
287	0.81	0.80	0.76	0.80	0.77	0.73	0.80	0.80	0.79	0.75
288	0.81	0.80	0.76	0.80	0.77	0.73	0.81	0.80	0.79	0.75
289	0.81	0.80	0.76	0.80	0.77	0.73	0.80	0.80	0.79	0.75
290	0.81	0.80	0.76	0.80	0.77	0.73	0.80	0.80	0.79	0.75
291	0.81	0.80	0.76	0.80	0.77	0.73	0.80	0.80	0.79	0.75
292	0.81	0.80	0.76	0.80	0.77	0.73	0.80	0.80	0.78	0.75
293	0.81	0.80	0.76	0.80	0.77	0.73	0.81	0.80	0.78	0.75
294	0.81	0.80	0.77	0.80	0.77	0.73	0.81	0.80	0.79	0.75
295	0.81	0.80	0.76	0.80	0.77	0.74	0.81	0.80	0.78	0.75
296	0.81	0.80	0.76	0.80	0.77	0.73	0.81	0.80	0.78	0.75
297	0.81	0.80	0.76	0.80	0.77	0.73	0.80	0.80	0.78	0.75
298	0.81	0.80	0.77	0.80	0.77	0.73	0.81	0.80	0.78	0.75
299	0.81	0.80	0.77	0.80	0.77	0.74	0.81	0.80	0.78	0.75
300	0.81	0.80	0.77	0.80	0.77	0.74	0.81	0.80	0.78	0.75
301	0.81	0.80	0.77	0.80	0.77	0.74	0.81	0.80	0.78	0.75
302	0.81	0.80	0.76	0.80	0.77	0.74	0.81	0.80	0.78	0.75
303	0.81	0.80	0.77	0.80	0.77	0.74	0.81	0.80	0.78	0.75
304	0.81	0.80	0.77	0.80	0.77	0.74	0.81	0.80	0.78	0.75
305	0.81	0.80	0.77	0.80	0.77	0.74	0.81	0.80	0.78	0.75
306	0.81	0.80	0.77	0.80	0.77	0.74	0.81	0.80	0.78	0.75
307	0.80	0.80	0.77	0.79	0.77	0.74	0.81	0.80	0.78	0.75
308	0.81	0.80	0.77	0.80	0.77	0.74	0.81	0.80	0.78	0.75
309	0.81	0.80	0.77	0.79	0.77	0.74	0.81	0.80	0.78	0.75
310	0.81	0.80	0.77	0.79	0.77	0.74	0.81	0.80	0.78	0.75
311	0.81	0.80	0.77	0.79	0.77	0.74	0.81	0.80	0.78	0.75
312	0.81	0.80	0.77	0.79	0.78	0.74	0.81	0.80	0.78	0.75
313	0.81	0.80	0.77	0.80	0.78	0.74	0.81	0.80	0.78	0.75
314	0.81	0.80	0.77	0.80	0.78	0.74	0.81	0.80	0.78	0.75
315	0.81	0.80	0.77	0.80	0.78	0.74	0.81	0.80	0.78	0.76
316	0.81	0.80	0.77	0.80	0.78	0.74	0.81	0.80	0.78	0.76
317	0.81	0.80	0.77	0.79	0.78	0.74	0.80	0.80	0.78	0.76
318	0.81	0.80	0.77	0.80	0.78	0.75	0.80	0.80	0.78	0.76
319	0.81	0.80	0.77	0.80	0.78	0.75	0.80	0.80	0.78	0.76
320	0.81	0.80	0.77	0.80	0.78	0.75	0.80	0.80	0.78	0.76
321	0.81	0.80	0.77	0.80	0.78	0.74	0.80	0.80	0.79	0.76
322	0.81	0.80	0.77	0.80	0.78	0.75	0.80	0.80	0.78	0.76
323	0.81	0.80	0.77	0.80	0.78	0.74	0.80	0.80	0.78	0.76
324	0.81	0.80	0.77	0.80	0.78	0.74	0.80	0.80	0.78	0.76
325	0.81	0.80	0.77	0.80	0.78	0.74	0.80	0.80	0.78	0.76
